,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
65,kapaa,US,2023-02-03 22:35:15,22.0752,-159.319,100,92,75.45199999999997,8.75
66,ahero,KE,2023-02-03 22:36:02,-0.1746,34.9163,37,54,64.65199999999999,2.22
67,comodoro rivadavia,AR,2023-02-03 22:36:02,-45.8667,-67.5,0,22,80.726,4.63
68,sentyabrskiy,,,,,,,,
69,bethel,US,2023-02-03 22:35:08,41.3712,-73.414,100,69,8.167999999999981,5.66
70,kodino,RU,2023-02-03 22:36:03,63.7198,39.6447,100,98,10.993999999999971,0.94
71,tres arroyos,AR,2023-02-03 22:36:03,-38.3739,-60.2798,0,84,58.11799999999998,2.94
72,unirea,RO,2023-02-03 22:36:04,44.15,23.1833,100,70,41.774000000000015,10.86
73,carutapera,BR,2023-02-03 22:36:04,-1.195,-46.02,92,92,76.04600000000005,2.37
74,bengkulu,ID,2023-02-03 22:36:05,-3.8004,102.2655,99,69,83.28200000000001,3.95
75,tuktoyaktuk,CA,2023-02-03 22:35:14,69.4541,-133.0374,75,66,-43.33,2.06
76,port alfred,ZA,2023-02-03 22:36:06,-33.5906,26.891,41,91,70.44800000000004,0.45
77,clyde river,CA,2023-02-03 22:36:06,70.4692,-68.5914,0,62,-28.695999999999998,5.66
78,clarksburg,US,2023-02-03 22:36:06,39.2807,-80.3445,0,75,13.316000000000006,1.29
79,hilo,US,2023-02-03 22:32:33,19.7297,-155.09,75,85,75.2,0.45
80,belushya guba,,,,,,,,
81,saint george,US,2023-02-03 22:35:12,37.1041,-113.5841,0,47,50.21600000000001,5.14
82,port hardy,CA,2023-02-03 22:36:07,50.6996,-127.4199,100,93,43.25,5.66
83,harer,ET,2023-02-03 22:36:08,9.3094,42.1258,1,52,62.63599999999997,3.67
84,pasni,PK,2023-02-03 22:36:08,25.2631,63.471,0,69,69.65600000000003,2.5
85,georgetown,MY,2023-02-03 22:34:58,5.4112,100.3354,20,73,87.99800000000002,2.06
86,burnie,AU,2023-02-03 22:36:08,-41.0667,145.9167,100,73,59.41400000000003,7.35
87,roura,GF,2023-02-03 22:36:09,4.7263,-52.3274,75,88,77.18000000000004,3.09
88,bredasdorp,ZA,2023-02-03 22:36:09,-34.5322,20.0403,17,89,66.39800000000002,2.89
89,killin,US,2023-02-03 22:36:09,33.6123,-91.7412,0,75,31.082000000000015,1.78
90,conceicao do araguaia,BR,2023-02-03 22:36:10,-8.2578,-49.2647,88,98,71.31199999999995,1.32
91,bathsheba,BB,2023-02-03 22:36:10,13.2167,-59.5167,40,73,79.68200000000002,9.26
92,vaitupu,,,,,,,,
93,nanortalik,GL,2023-02-03 22:36:03,60.1432,-45.2371,89,76,7.682000000000016,4.84
94,provideniya,RU,2023-02-03 22:36:11,64.3833,-173.3,60,89,-10.137999999999998,5.81
95,shihezi,CN,2023-02-03 22:36:11,44.3,86.0333,81,88,21.991999999999997,1.74
96,camacha,PT,2023-02-03 22:36:12,33.0833,-16.3333,20,67,56.89399999999998,3.6
97,terra nova,BR,2023-02-03 22:36:13,-12.3667,-40.6667,20,96,66.77599999999998,0.88
98,meulaboh,ID,2023-02-03 22:36:13,4.1363,96.1285,100,76,80.09600000000006,1.73
99,calvinia,ZA,2023-02-03 22:36:13,-31.4707,19.776,0,50,72.37400000000002,2.09
100,port hedland,AU,2023-02-03 22:36:14,-20.3167,118.5667,6,41,98.92400000000002,4.12
101,severo-kurilsk,RU,2023-02-03 22:36:00,50.6789,156.125,100,88,28.49000000000002,5.17
102,miracema do tocantins,BR,2023-02-03 22:36:14,-9.5618,-48.3967,79,94,73.184,0.46
103,nichinan,JP,2023-02-03 22:36:15,31.6,131.3667,100,43,55.346000000000046,2.26
104,khani,GE,2023-02-03 22:36:15,41.9563,42.9566,94,53,28.238000000000046,3.46
105,aden,YE,2023-02-03 22:36:15,12.7794,45.0367,36,76,74.75,3.8
106,illoqqortoormiut,,,,,,,,
107,maine-soroa,NE,2023-02-03 22:36:16,13.2114,12.0241,80,16,66.84800000000003,4.05
108,geraldton,AU,2023-02-03 22:32:13,-28.7667,114.6,18,31,93.88399999999999,10.8
109,narsaq,GL,2023-02-03 22:36:16,60.9167,-46.05,4,74,3.685999999999968,3.02
110,ostrovnoy,RU,2023-02-03 22:36:17,68.0531,39.5131,99,91,13.208000000000002,4.06
111,elk plain,US,2023-02-03 22:36:17,47.0532,-122.3976,100,80,48.14600000000005,5.14
112,hobart,AU,2023-02-03 22:32:44,-42.8794,147.3294,75,93,60.92599999999999,6.69
113,iberia,US,2023-02-03 22:36:17,29.9502,-91.7507,0,75,45.23000000000004,3.09
114,yellowknife,CA,2023-02-03 22:33:21,62.456,-114.3525,75,77,-12.17199999999999,4.12
115,nikolskoye,RU,2023-02-03 22:36:18,59.7035,30.7861,100,95,27.05,3.25
116,emba,KZ,2023-02-03 22:36:18,48.8264,58.1442,100,87,10.003999999999952,4.67
117,east london,ZA,2023-02-03 22:36:19,-33.0153,27.9116,0,88,71.00600000000003,3.09
118,cap malheureux,MU,2023-02-03 22:36:19,-19.9842,57.6142,58,74,82.74199999999999,2.68
119,hamamatsu,JP,2023-02-03 22:36:19,34.7,137.7333,28,35,57.092,4.92
120,bellinzona,CH,2023-02-03 22:36:20,46.1928,9.017,20,46,49.90999999999998,1.03
121,airai,TL,2023-02-03 22:36:20,-8.9266,125.4092,99,90,64.85,1.55
122,batagay,RU,2023-02-03 22:36:20,67.6333,134.6333,99,100,-31.378000000000014,0.66
123,thompson,CA,2023-02-03 22:36:21,55.7435,-97.8558,75,77,-5.367999999999988,1.03
